1753142400000000,117380.36000000,117402.55000000,117303.23000000,117303.24000000,26.90658000,1753142699999999,3157873.71086350,4056,12.43027000,1458851.14828920,0
1753142700000000,117303.24000000,117323.55000000,117252.89000000,117276.17000000,21.21856000,1753142999999999,2488921.46100820,3804,11.18299000,1311766.00231250,0
1753143000000000,117276.17000000,117319.66000000,117268.54000000,117319.66000000,25.99684000,1753143299999999,3049197.59905990,3646,15.08778000,1769595.57909940,0
1753143300000000,117319.66000000,117506.33000000,117319.65000000,117446.85000000,41.72677000,1753143599999999,4900378.94681260,7315,31.07754000,3649359.80705110,0
1753143600000000,117446.86000000,117477.78000000,117402.19000000,117434.00000000,20.46409000,1753143899999999,2403340.07023980,4055,12.92254000,1517607.23646670,0
1753143900000000,117434.00000000,117511.51000000,117433.99000000,117511.51000000,26.43317000,1753144199999999,3105034.18015260,3869,19.00217000,2232034.03342760,0
1753144200000000,117511.50000000,117524.07000000,117269.62000000,117323.68000000,36.96601000,1753144499999999,4340877.11210770,8725,15.94706000,1872814.70053120,0
1753144500000000,117323.68000000,117323.68000000,117100.01000000,117235.27000000,84.96132000,1753144799999999,9956123.46066650,8521,20.77186000,2433970.81930060,0
1753144800000000,117235.27000000,117262.35000000,117012.29000000,117055.91000000,70.11915000,1753145099999999,8210794.73065580,7368,21.26103000,2489410.69665280,0
1753145100000000,117055.90000000,117313.88000000,117055.90000000,117260.00000000,36.37960000,1753145399999999,4263768.53500190,5752,19.83961000,2325427.13858450,0
1753145400000000,117260.00000000,117292.63000000,117156.30000000,117204.07000000,25.99201000,1753145699999999,3046333.35666620,5537,15.04265000,1762838.45658170,0
1753145700000000,117204.08000000,117204.08000000,117102.00000000,117123.69000000,95.60470000,1753145999999999,11196390.28913160,5957,12.97924000,1520054.67424950,0
1753146000000000,117123.68000000,117129.08000000,116888.00000000,116888.01000000,97.47440000,1753146299999999,11406098.04381510,9316,25.66176000,3003134.64353810,0
1753146300000000,116888.00000000,117037.39000000,116888.00000000,116967.71000000,111.18135000,1753146599999999,13003789.59846670,10947,76.57319000,8956125.93037500,0
1753146600000000,116967.71000000,117101.88000000,116864.00000000,116869.17000000,63.49414000,1753146899999999,7427570.23968840,9096,25.62232000,2997641.16826030,0
1753146900000000,116869.17000000,116895.73000000,116128.00000000,116850.00000000,551.26430000,1753147199999999,64192866.26778590,56576,225.38799000,26242427.14645750,0
1753147200000000,116849.99000000,117239.58000000,116772.00000000,117039.66000000,173.28019000,1753147499999999,20276552.03382690,33211,114.87511000,13441774.77856170,0
1753147500000000,117039.20000000,117240.22000000,117032.96000000,117240.21000000,73.46822000,1753147799999999,8607233.57578750,12541,44.49887000,5212566.52291480,0
1753147800000000,117240.22000000,117324.86000000,117094.15000000,117197.07000000,116.88875000,1753148099999999,13698506.79988770,17099,39.50037000,4629814.67857740,0
1753148100000000,117197.07000000,117432.72000000,117187.37000000,117355.79000000,89.99562000,1753148399999999,10561466.90719200,16436,50.44956000,5919920.17969490,0
1753148400000000,117355.80000000,117808.40000000,117355.79000000,117647.36000000,270.08516000,1753148699999999,31779720.09224000,22665,135.69902000,15963219.42173550,0
1753148700000000,117647.35000000,117840.23000000,117623.00000000,117810.75000000,61.23932000,1753148999999999,7210540.52123160,11590,39.61887000,4664011.86609990,0
1753149000000000,117810.75000000,117950.00000000,117661.70000000,117808.39000000,95.02553000,1753149299999999,11196326.68894810,13678,48.53500000,5718664.02396070,0
1753149300000000,117808.40000000,117879.21000000,117750.00000000,117750.01000000,43.94007000,1753149599999999,5176562.92665920,5071,23.99449000,2826946.70247760,0
1753149600000000,117750.01000000,117800.00000000,117641.01000000,117664.38000000,69.22112000,1753149899999999,8149849.01053560,9549,18.22384000,2145861.26073370,0
1753149900000000,117664.38000000,117689.57000000,117536.40000000,117536.41000000,73.93696000,1753150199999999,8694957.90471980,8713,23.91573000,2812584.54638870,0
1753150200000000,117536.41000000,117597.25000000,117426.93000000,117504.87000000,54.31608000,1753150499999999,6382106.43774730,11463,23.93799000,2812635.49682350,0
1753150500000000,117504.88000000,117554.95000000,117412.33000000,117414.09000000,33.61506000,1753150799999999,3948821.03410920,6886,20.94748000,2460607.84976370,0
1753150800000000,117414.08000000,117702.99000000,117414.08000000,117546.67000000,36.98063000,1753151099999999,4347638.43888720,10123,22.16291000,2605319.25638280,0
1753151100000000,117546.67000000,117594.69000000,117541.71000000,117564.01000000,59.79370000,1753151399999999,7029717.49973890,6050,20.89635000,2456515.31746340,0
1753151400000000,117564.00000000,117670.72000000,117460.00000000,117670.72000000,46.73020000,1753151699999999,5492848.11014400,7208,28.78837000,3384153.37216120,0
1753151700000000,117670.71000000,117676.13000000,117530.50000000,117543.98000000,44.57113000,1753151999999999,5240368.17064670,5632,9.74582000,1145819.70412460,0
1753152000000000,117543.98000000,117553.00000000,117297.17000000,117297.17000000,68.78359000,1753152299999999,8074695.38800630,7360,29.34347000,3444167.17259430,0
1753152300000000,117297.17000000,117326.49000000,117220.00000000,117220.01000000,33.67800000,1753152599999999,3950371.69014530,5956,12.62047000,1480351.92944900,0
1753152600000000,117220.00000000,117259.41000000,116990.18000000,117203.86000000,64.88193000,1753152899999999,7599198.09050400,14211,30.15187000,3531436.78097260,0
1753152900000000,117203.86000000,117203.87000000,116969.67000000,117027.81000000,55.20147000,1753153199999999,6459987.62517350,10409,24.48594000,2865236.07062150,0
1753153200000000,117027.81000000,117238.94000000,116969.67000000,117169.63000000,58.19954000,1753153499999999,6815133.28948020,11216,32.23836000,3774683.30252020,0
